transaction_id,user_id,timestamp_utc,amount_aed,currency,payment_method,device_type,browser,merchant_category,items_count,avg_item_price,shipping_city,billing_city,shipping_billing_match,ip_address,ip_risk_score,card_present,bin_country,card_age_days,card_country_match,email_domain,user_prev_chargebacks,user_is_high_risk,user_account_age_days,transactions_last_24h,transactions_last_1h,local_hour,odd_hour,is_fraud,fraud_flag_ip,fraud_flag_mismatch,fraud_flag_velocity,fraud_flag_new_account,fraud_flag_prev_cb,fraud_flag_odd_hour,data_source
500086758,1000466,2024-01-01T00:02:03Z,71.47,AED,card,desktop,Chrome,Pharmacy,3,23.82,Dubai,Dubai,1,144.108.182.242,35.3,0,AE,85,1,gmail.com,0,0,365,0,0,4,1,0,0,0,0,0,0,1,synthetic:ecom-fraud-uae-v1
500060464,1002828,2024-01-01T00:03:11Z,70.25,AED,card,mobile,Chrome,Groceries,1,70.25,Abu Dhabi,Abu Dhabi,1,104.37.234.72,30.2,0,SA,123,0,outlook.com,0,0,-192,0,0,4,1,0,0,0,0,1,0,1,synthetic:ecom-fraud-uae-v1
500039909,1010349,2024-01-01T00:04:10Z,116.25,AED,bank_transfer,desktop,Chrome,Beauty,2,58.12,Cairo,Cairo,1,89.169.143.66,32.7,0,PK,542,0,gmail.com,0,0,1744,0,0,4,1,0,0,0,0,0,0,1,synthetic:ecom-fraud-uae-v1
500074412,1015360,2024-01-01T00:05:14Z,99.41,AED,apple_pay,mobile,Safari,Toys,2,49.7,Mumbai,Mumbai,1,37.54.200.109,30.3,0,EG,981,0,outlook.com,0,0,102,0,0,4,1,0,0,0,0,0,0,1,synthetic:ecom-fraud-uae-v1
500038110,1022253,2024-01-01T00:11:03Z,529.4,AED,card,desktop,Safari,Travel,2,264.7,Dubai,Dubai,1,18.172.52.222,18.5,0,AE,515,1,gmail.com,1,1,-59,0,0,4,1,0,0,0,0,1,1,1,synthetic:ecom-fraud-uae-v1
500091739,1010362,2024-01-01T00:14:08Z,71.13,AED,card,mobile,Firefox,Toys,3,23.71,Dubai,Mumbai,0,79.162.253.157,35.8,0,AE,581,1,yahoo.com,0,0,372,0,0,4,1,0,0,0,0,0,0,1,synthetic:ecom-fraud-uae-v1
500083616,1004416,2024-01-01T00:15:14Z,29.06,AED,card,desktop,Chrome,Electronics,2,14.53,Dubai,Dubai,1,119.32.31.162,80.0,0,AE,170,1,gmail.com,0,0,-246,0,0,4,1,0,1,0,0,1,0,1,synthetic:ecom-fraud-uae-v1
500032598,1017727,2024-01-01T00:21:14Z,136.24,AED,google_pay,desktop,Chrome,Home & Furniture,2,68.12,Dubai,Dubai,1,185.85.90.41,37.1,0,AE,1718,1,gmail.com,0,0,1385,0,0,4,1,0,0,0,0,0,0,1,synthetic:ecom-fraud-uae-v1
500067906,1001159,2024-01-01T00:32:42Z,90.73,AED,card,mobile,Chrome,Groceries,3,30.24,Dubai,Dubai,1,42.186.199.34,42.7,0,AE,20,1,gmail.com,0,1,-335,0,0,4,1,0,0,0,0,1,0,1,synthetic:ecom-fraud-uae-v1
500013141,1011250,2024-01-01T00:34:20Z,47.8,AED,card,mobile,Chrome,Fashion,2,23.9,Doha,Doha,1,37.209.7.82,20.4,0,IN,70,0,gmail.com,0,0,-244,0,0,4,1,0,0,0,0,1,0,1,synthetic:ecom-fraud-uae-v1
500073917,1021097,2024-01-01T00:34:46Z,25.12,AED,card,mobile,Chrome,Electronics,2,12.56,Sharjah,Sharjah,1,79.25.243.169,34.0,0,SA,130,0,gmail.com,0,0,1370,0,0,4,1,0,0,0,0,0,0,1,synthetic:ecom-fraud-uae-v1
500049133,1008580,2024-01-01T00:38:04Z,151.27,AED,card,mobile,Chrome,Travel,2,75.64,Dubai,Dubai,1,22.222.55.42,38.0,0,AE,68,1,gmail.com,0,0,-266,0,0,4,1,0,0,0,0,1,0,1,synthetic:ecom-fraud-uae-v1
500084245,1027989,2024-01-01T00:43:54Z,22.02,AED,card,tablet,Firefox,Groceries,2,11.01,Fujairah,Fujairah,1,213.195.110.92,30.4,0,AE,631,1,gmail.com,1,1,-249,0,0,4,1,0,0,0,0,1,1,1,synthetic:ecom-fraud-uae-v1
500077350,1004037,2024-01-01T00:44:39Z,233.79,AED,card,desktop,Chrome,Groceries,1,233.79,Dubai,Dubai,1,62.18.192.158,59.3,0,AE,246,1,yahoo.com,0,0,1613,0,0,4,1,0,0,0,0,0,0,1,synthetic:ecom-fraud-uae-v1
500066759,1026434,2024-01-01T00:50:37Z,155.32,AED,google_pay,desktop,Safari,Beauty,3,51.77,Doha,Doha,1,103.211.252.105,30.6,0,PK,378,0,gmail.com,0,0,1318,0,0,4,1,0,0,0,0,0,0,1,synthetic:ecom-fraud-uae-v1
